單字,字義,詞性,分類,重要性
Succeed,成功,動詞,雅思,2
Solve,解決,動詞,雅思,2
Similar,相似的,形容詞,多益,2
Significant,重要的,形容詞,托福,3
Specific,具體的,形容詞,托福,3
Successful,成功的,形容詞,雅思,2
Sustainable,可持續的,形容詞,托福,3
Significantly,顯著地,副詞,托福,3
Specifically,具體地,副詞,托福,3
Strongly,強烈地,副詞,多益,2
Substantially,大大地,副詞,托福,3
Suddenly,突然地,副詞,雅思,2
Technology,技術,名詞,雅思,2
Theory,理論,名詞,托福,3
Trend,趨勢,名詞,托福,3
Task,任務,名詞,多益,2
Team,團隊,名詞,多益,2
Take,拿,動詞,多益,2
Teach,教,動詞,雅思,2
Tackle,處理,動詞,多益,2
Tactful,機智的/圓滑的,形容詞,多益,2
Tangible,有形的,形容詞,多益,3
Tardy,遲到的,形容詞,多益,1
Target,目標,名詞,多益,1
Taut,拉緊的,形容詞,多益,2
Thrive,茁壯成長,動詞,多益,2
Trustworthy,值得信賴的,形容詞,多益,2
Timely,及時的,形容詞,多益,2
Tedious,冗長乏味的,形容詞,多益,2
Temper,脾氣/調和,名詞/動詞,多益,2
Temporary,暫時的,形容詞,多益,1
Tendency,傾向,名詞,多益,1
Tentative,試驗性的/暫定的,形容詞,多益,2
Terminate,終止,動詞,多益,2
Terrific,極好的,形容詞,多益,1
Testify,作證,動詞,多益,2
Thankful,感激的,形容詞,多益,1
Theoretical,理論的,形容詞,多益,2
Thorough,徹底的,形容詞,多益,2
Tidy,整潔的,形容詞,多益,1
Tolerate,容忍,動詞,多益,2
Test,測試,動詞,多益,2
Transform,轉變,動詞,托福,3
Travel,旅行,動詞,雅思,2
Traditional,傳統的,形容詞,雅思,2
Technical,技術的,形容詞,托福,3
Typical,典型的,形容詞,雅思,2
Tough,困難的,形容詞,雅思,2
Typically,典型地,副詞,托福,3
Totally,完全地,副詞,多益,2
Traditionally,傳統地,副詞,托福,3
Truly,真正地,副詞,雅思,2
Together,一起,副詞,多益,2
Understanding,理解,名詞,雅思,2
University,大學,名詞,雅思,2
Unit,單位,名詞,托福,3
Usage,用法,名詞,多益,2
Utility,實用性,名詞,托福,3
Understand,理解,動詞,多益,2
Use,使用,動詞,多益,2
Update,更新,動詞,多益,2
Unify,統一,動詞,多益,2
Uplift,提升,動詞,多益,2
Urgent,緊急的,形容詞,多益,3
Utilize,利用,動詞,托福,3
Ultimate,最終的,形容詞,多益,1
Ultimately,最終地,副詞,多益,1
Ulterior,隱密的,形容詞,多益,3
Unanimous,意見一致的,形容詞,多益,2
Uncharted,未知的,形容詞,多益,3
Uncover,揭露,動詞,多益,2
Undergo,經歷,動詞,多益,2
Underline,強調/在下方劃線,動詞,多益,2
Undertake,承擔,動詞,多益,2
Unduly,過度地,副詞,多益,3
Unfold,展開,動詞,多益,2
Unleash,釋放,動詞,多益,3
Unravel,解開/闡明,動詞,多益,2
Unrest,動盪,名詞,多益,3
Unsightly,難看的,形容詞,多益,2
Unveil,揭露/公開,動詞,多益,2
Upbeat,樂觀的,形容詞,多益,1
Upheaval,劇變,名詞,多益,3
Upgrade,升級,動詞,多益,2
Useful,有用的,形容詞,多益,2
Unique,獨特的,形容詞,托福,3
Universal,普遍的,形容詞,雅思,2
Urban,城市的,形容詞,雅思,2
Usually,通常地,副詞,多益,2
Universally,普遍地,副詞,托福,3
Undoubtedly,毫無疑問地,副詞,托福,3
Unfortunately,不幸地,副詞,雅思,2
Value,價值,名詞,多益,2
Vision,願景,名詞,托福,3
Variation,變化,名詞,托福,3
Vehicle,車輛,名詞,雅思,2
Volume,體積,名詞,托福,3
Validate,驗證,動詞,托福,3
Vary,變化,動詞,托福,3
Verify,核實,動詞,多益,2
View,查看,動詞,多益,2
Valiant,英勇的,形容詞,多益,3
Variable,變數/可變的,名詞/形容詞,多益,2
Venture,冒險,動詞,多益,2
Virtuous,品德高尚的,形容詞,多益,3
Veil,面紗/遮蓋,名詞/動詞,多益,2
Velocity,速度,名詞,多益,2
Vengeance,復仇,名詞,多益,3
Versatile,多才多藝的,形容詞,多益,2
Veto,否決,動詞,多益,2
Vibrant,活力充沛的,形容詞,多益,2
Vicinity,附近/鄰近,名詞,多益,3
Victorious,勝利的,形容詞,多益,2
Vie,競爭,動詞,多益,3
Vigilant,警惕的,形容詞,多益,2
Vigorous,精力充沛的,形容詞,多益,2
Violate,違反,動詞,多益,2
Virtually,幾乎/實質上,副詞,多益,1
Volunteer,志願,動詞,雅思,2
Valuable,有價值的,形容詞,多益,2
Various,各種各樣的,形容詞,托福,3
Visible,可見的,形容詞,雅思,2
Virtual,虛擬的,形容詞,托福,3
Vital,至關重要的,形容詞,托福,3
Visually,視覺上,副詞,托福,3
Very,非常,副詞,多益,2
Vaguely,模糊地,副詞,托福,3
Vigorously,精力充沛地,副詞,雅思,2
Work,工作,名詞,多益,2
Wealth,財富,名詞,雅思,2
Wisdom,智慧,名詞,托福,3
Witness,目擊者,名詞,托福,3
Workshop,車間/研討會,名詞,多益,2
Write,寫,動詞,多益,2
Warn,警告,動詞,雅思,2
Wail,哀號,動詞,多益,2
Waive,放棄,動詞,多益,3
Wander,漫步,動詞,多益,1
Wane,衰退,動詞,多益,2
Warrant,授權/擔保,名詞/動詞,多益,3
Warrior,戰士,名詞,多益,2
Warranty,保證書,名詞,多益,1
Wary,謹慎的,形容詞,多益,2
Witty,機智的,形容詞,多益,2
Wholehearted,全心全意的,形容詞,多益,3
Waterfall,瀑布,名詞,多益,1
Weaken,使削弱,動詞,多益,2
Wealthy,富有的,形容詞,多益,1
Wholesome,有益健康的,形容詞,多益,2
Widespread,廣泛的,形容詞,多益,1
Willingly,自願地,副詞,多益,2
Windfall,意外之財,名詞,多益,3
Withdraw,撤回,動詞,多益,2
Wither,枯萎,動詞,多益,2
Withstand,承受/抵擋,動詞,多益,3
Worsen,惡化,動詞,多益,2
Wish,希望,動詞,雅思,2
Win,贏得,動詞,多益,2
Wide,寬的,形容詞,多益,2
Weak,虛弱的,形容詞,雅思,2
Western,西方的,形容詞,雅思,2
Worldwide,全球的,形容詞,多益,2
Widely,廣泛地,副詞,托福,3
Wisely,明智地,副詞,雅思,2
Wonderfully,精彩地,副詞,雅思,2
Wrongly,錯誤地,副詞,托福,3
Wholeheartedly,全心全意地,副詞,托福,3
X-axis,X軸,名詞,多益,1
X-ray,X光,名詞,多益,1
Xenial,好客的/友善的,形容詞,多益,3
Xenophobia,排外情緒,名詞,多益,3
Xeric,乾旱的,形容詞,多益,3
Xerox,影印,動詞,多益,1
Xylography,木刻術,名詞,多益,3
Xanthic,黃色的,形容詞,多益,3
Xanthophyll,葉黃素,名詞,多益,3
Xylene,二甲苯,名詞,多益,3
Xyloid,木質的,形容詞,多益,3
Xanthate,黃原酸鹽,名詞,多益,3
Xylophone,木琴,名詞,多益,2
Xeriscape,乾旱造景,名詞,多益,3
Xenograft,異體移植,名詞,多益,3
Xanthoma,黃瘤,名詞,多益,3
X-factor,不可預測的因素,名詞,多益,2
X-chromosome,X染色體,名詞,多益,2
Xanthous,淡黃色的,形容詞,多益,3
Xeniality,友善好客,名詞,多益,3
Xylographic,木刻版畫的,形容詞,多益,3
Year,年,名詞,多益,2
Youth,青年,名詞,雅思,2
Yield,產量,名詞,托福,3
Yearning,渴望,名詞,托福,3
Yesterday,昨天,名詞,多益,2
Yell,喊叫,動詞,雅思,2
Yearn,渴望,動詞,托福,3
Yardstick,衡量標準,名詞,多益,2
Yawn,打呵欠,動詞,多益,1
Yen,渴望/日圓,名詞,多益,2
Yoke,束縛/結合,動詞,多益,3
Youngster,年輕人,名詞,多益,1
Yowl,號叫/慟哭,動詞,多益,3
Yonder,在那邊,副詞/形容詞,多益,2
Yoga,瑜伽,名詞,多益,1
Yachting,駕遊艇,名詞,多益,2
Yahoo,粗人/喊叫聲,名詞,多益,2
Yak,犛牛/閒聊,名詞/動詞,多益,2
Yielding,順從的,形容詞,多益,2
Youthful,年輕的,形容詞,多益,3
Yay,好耶(歡呼),感嘆詞,多益,1
Yearly,每年的,形容詞/副詞,多益,1
Yellowish,淡黃色的,形容詞,多益,1
Yippee,耶!(表示高興),感嘆詞,多益,1
Yin,陰,名詞,多益,2
Yogurt,優格,名詞,多益,1
Yappy,吵鬧的(狗),形容詞,多益,2
Young,年輕的,形容詞,多益,2
Yellow,黃色的,形容詞,雅思,2
Yet,還,副詞,雅思,2
Yes,是的,副詞,多益,2
Yours,你的,副詞,多益,2
Zone,區域,名詞,托福,3
Zeal,熱情,名詞,托福,3
Zenith,頂點,名詞,托福,3
Zoo,動物園,名詞,雅思,2
Zealous,狂熱的,形容詞,多益,3
Zebra,斑馬,名詞,多益,1
Zen,禪,名詞,多益,2
Zephyr,和風,名詞,多益,3
Zero,零,名詞,多益,1
Zest,熱情/風味,名詞,多益,2
Zillion,無數的,形容詞,多益,2
Zinc,鋅,名詞,多益,2
Zoom,快速移動/鏡頭拉近,動詞,多益,1
Zoological,動物學的,形容詞,多益,3
Zoologist,動物學家,名詞,多益,2
Zookeeper,動物園管理員,名詞,多益,1
Zoology,動物學,名詞,多益,2
Zestful,有熱情的,形容詞,多益,3
Zonal,區域的,形容詞,多益,2
Zucchini,小胡瓜,名詞,多益,1
Zigzag,Z字形/曲折行進,名詞/動詞,多益,2
Zooming,疾行的,形容詞,多益,2
Zesty,活力十足的/開胃的,形容詞,多益,2
Zip,拉上拉鍊,動詞,雅思,2
Zap,攻擊,動詞,雅思,2
Zealously,熱情地,副詞,托福,3
Zenithward,向頂點,副詞,托福,3
Zestfully,熱心地,副詞,托福,3
Zigzaggedly,曲折地,副詞,托福,3
Zonally,區域地,副詞,托福,3
